ball: .word 15, 15
.byte 199, 199, 199, 199, 199, 0, 0, 0, 0, 0, 199, 199, 199, 199, 199, 
199, 199, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 199, 199, 
199, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 199, 
199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 
199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 
199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 
199, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 199, 
199, 199, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 199, 199, 
199, 199, 199, 199, 199, 0, 0, 0, 0, 0, 199, 199, 199, 199, 199, 
